6574 4.8833 114.95 2008/11/05 00:00:00+00   0 0 landslide downpour medium unknown
5571 11.855 75.361 2007/07/20 00:00:00+00   0 0 landslide downpour medium unknown
457 11.82556404 98.11535599 1970/01/01 00:00:00+00   0 0 landslide unknown ... ...
9211 21.47819035 91.96737514 2015/09/01 00:00:00+00   1 0 landslide downpour medium above_road
2644 37.8505 140.9505 2014/03/28 00:00:00+00   1 0 mudslide construction small unknown
6738 13.2989 123.8 2007/11/19 00:00:00+00   3 0 landslide tropical_cyclone medium unknown
277 0.7089 107.7503 2008/10/18 00:00:00+00   3 0 landslide rain medium unknown
2473 -0.6811 119.762 2007/01/31 00:00:00+00   6 0 landslide rain medium unknown
8881 11.3 124.9667 2011/03/17 00:00:00+00   7 0 landslide downpour medium unknown
10842 35.3047 69.5546 2014/03/31 00:00:00+00 Afghanistan 0 0 landslide rain small above_road
7613 37.56106267 70.42633455 2010/05/17 00:00:00+00 Afghanistan 0 0 landslide downpour medium unknown
6092 37.50281087 70.44300821 2008/04/25 00:00:00+00 Afghanistan 0 0 landslide rain medium unknown
5434 37.55914605 70.42777802 2010/05/21 00:00:00+00 Afghanistan 0 0 landslide downpour large unknown
4433 35.7508 68.8479 2014/11/09 00:00:00+00 Afghanistan 0 0 mudslide rain medium unknown
927 37.3888 69.8255 2014/08/05 00:00:00+00 Afghanistan 0 0 landslide unknown medium unknown
11717 37.01930606 69.93700734 2018/05/19 00:00:00+00 Afghanistan 1 13 mudslide rain large natural_slope
9105 35.625 65.7424 2007/05/04 00:00:00+00 Afghanistan 1 0 mudslide rain medium unknown
7675 34.9376 70.75399999999999 2016/03/26 00:00:00+00 Afghanistan 4 0 landslide rain medium unknown
5437 37.1621951 70.00661688 2014/04/12 00:00:00+00 Afghanistan 5 0 landslide unknown large unknown
99 38.0 71.0 2009/05/22 00:00:00+00 Afghanistan 5 0 mudslide downpour medium unknown
6470 37.2199 69.7078 2008/05/06 00:00:00+00 Afghanistan 6 0 complex rain medium unknown
2892 34.7976 70.977 2016/04/11 00:00:00+00 Afghanistan 7 1 other rain medium unknown
6009 35.727633399999995 71.30557792 2017/02/06 00:00:00+00 Afghanistan 50 0 snow_avalanche snowfall_snowmelt very_large natural_slope
