FID,latitude,longitude,country_na,event_date,event_time
1,23.71701896,91.61577214,India,2018/05/20 00:00:00+00, 
2,26.07173543,98.53105319,Myanmar,1970/01/01 00:00:00+00, 
5,11.46851,75.9434,India,2018/06/14 00:00:00+00,03:00
9,22.83757492,93.53921036,Myanmar,1970/01/01 00:00:00+00, 
10,22.83605861,93.54111916,Myanmar,1970/01/01 00:00:00+00, 
11,23.40388585,93.4368202,Myanmar,1970/01/01 00:00:00+00, 
12,19.631045899999997,94.00344189,Myanmar,1970/01/01 00:00:00+00, 
13,18.73003933,94.69552255,Myanmar,1970/01/01 00:00:00+00, 
14,18.70331058,94.67261255,Myanmar,1970/01/01 00:00:00+00, 
15,18.74169038,94.67442191,Myanmar,1970/01/01 00:00:00+00, 
16,18.74112321,94.67687066,Myanmar,1970/01/01 00:00:00+00, 
17,18.72841626,94.68546655,Myanmar,1970/01/01 00:00:00+00, 
18,18.72812917,94.67594768,Myanmar,1970/01/01 00:00:00+00, 
19,18.72744834,94.67473172,Myanmar,1970/01/01 00:00:00+00, 
20,18.71549311,94.69251298,Myanmar,1970/01/01 00:00:00+00, 
21,18.71388517,94.71565354,Myanmar,1970/01/01 00:00:00+00, 
22,18.72346961,94.71405687,Myanmar,1970/01/01 00:00:00+00, 
23,15.14251448,97.95507652,Myanmar,1970/01/01 00:00:00+00, 
24,15.14296215,97.95756114,Myanmar,1970/01/01 00:00:00+00, 
25,15.14215335,97.94360199,Myanmar,1970/01/01 00:00:00+00, 
26,15.16453886,97.94202031,Myanmar,1970/01/01 00:00:00+00, 
27,15.18726125,97.92595512,Myanmar,1970/01/01 00:00:00+00, 
28,15.15425793,97.95333306,Myanmar,1970/01/01 00:00:00+00, 
29,15.13572987,97.94251708,Myanmar,1970/01/01 00:00:00+00, 
30,15.14911868,97.95714206,Myanmar,1970/01/01 00:00:00+00, 
31,15.13729523,97.94587988,Myanmar,1970/01/01 00:00:00+00, 
32,15.13772442,97.94688303,Myanmar,1970/01/01 00:00:00+00, 
33,15.13311223,97.95204659999999,Myanmar,1970/01/01 00:00:00+00, 
34,15.12424565,97.96829411,Myanmar,1970/01/01 00:00:00+00, 
35,21.219105,93.82425435,Myanmar,1970/01/01 00:00:00+00, 
36,16.34993934,94.37172432,Myanmar,1970/01/01 00:00:00+00, 
37,16.32113646,94.3587349,Myanmar,1970/01/01 00:00:00+00, 
38,21.2105003,93.77985949,Myanmar,1970/01/01 00:00:00+00, 
39,21.22112025,93.76379118,Myanmar,1970/01/01 00:00:00+00, 
40,21.18733792,93.80077325,Myanmar,1970/01/01 00:00:00+00, 
41,17.19091266,97.44521179,Myanmar,1970/01/01 00:00:00+00, 
42,19.61490508,94.21065584,Myanmar,1970/01/01 00:00:00+00, 
43,19.04112977,94.67048328,Myanmar,1970/01/01 00:00:00+00, 
44,19.00590578,94.70998741,Myanmar,1970/01/01 00:00:00+00, 
45,16.60647841,98.35140391,Myanmar,1970/01/01 00:00:00+00, 
46,16.43345084,98.42964538,Myanmar,1970/01/01 00:00:00+00, 
47,11.73500077,98.03177385,Myanmar,1970/01/01 00:00:00+00, 
53,12.5655,124.0419,Philippines,2009/01/02 00:00:00+00,20:00
54,27.9447,84.2279,Nepal,2009/07/02 00:00:00+00, 
55,31.0188,78.4129,India,2011/07/09 00:00:00+00, 
56,22.77997113,92.03513581,Bangladesh,2017/07/02 00:00:00+00,12:00
57,27.769034,84.854632,Nepal,2016/09/02 00:00:00+00,07:00
61,26.3312531,94.55427723,India,2017/07/01 00:00:00+00,22:00
62,27.02149311,88.25902123,India,2017/07/06 00:00:00+00,08:00
63,38.74738889,75.19605556,China,2017/06/25 00:00:00+00,18:00
65,27.06992579,93.6146564,India,2017/06/19 00:00:00+00,04:00
66,16.28332586,80.26097734,India,2017/05/27 00:00:00+00, 
67,16.77787239,120.96132824,Philippines,2017/05/30 00:00:00+00, 
68,22.65620215,93.61589869,Myanmar,2017/05/29 00:00:00+00,22:00
69,33.01739981,74.93828041,India,2017/06/21 00:00:00+00,22:00
70,30.86642127,76.99790295,India,2017/06/29 00:00:00+00, 
71,22.44394492,91.97239273,Bangladesh,2017/06/13 00:00:00+00, 
72,33.01346369,74.93530189,India,2017/06/30 00:00:00+00,12:00
77,29.04080591,114.41329653,China,2017/06/25 00:00:00+00, 
78,26.92110789,103.27687176,China,2017/06/30 00:00:00+00, 
79,24.59383609,121.41808599,China,2017/05/28 00:00:00+00,22:00
81,1.54384065,110.52085937,Malaysia,2017/05/29 00:00:00+00,02:00
82,27.54295099,88.59676956,India,2017/05/26 00:00:00+00, 
83,5.395580000000001,100.31801,Malaysia,2016/08/22 00:00:00+00,06:00
85,28.06986667,83.65247597,Nepal,2017/07/01 00:00:00+00, 
86,27.10647226,93.65975252,India,2017/07/01 00:00:00+00,05:00
87,-0.5229,103.2764,Indonesia,2015/02/20 00:00:00+00,22:00
89,28.2576,83.6182,Nepal,2015/08/16 00:00:00+00,13:00
98,35.5063,73.8056,Pakistan,2016/04/03 00:00:00+00, 
99,38.0,71.0,Afghanistan,2009/05/22 00:00:00+00,18:00
105,28.1436,84.6979,Nepal,2015/04/10 00:00:00+00,23:00
106,-3.0287,118.9062,Indonesia,2012/04/22 00:00:00+00, 
107,30.9009,77.4668,India,2010/09/19 00:00:00+00, 
109,32.9834,75.6953,India,2016/08/07 00:00:00+00, 
110,35.3539,74.8595,Pakistan,2010/08/20 00:00:00+00, 
111,7.9441,98.288,Thailand,2013/10/08 00:00:00+00,09:00
113,20.2947,98.9344,Myanmar,2008/10/28 00:00:00+00, 
114,12.58,122.29,Philippines,2008/10/02 00:00:00+00, 
115,29.4578,81.4655,Nepal,2016/07/16 00:00:00+00,23:00
118,28.4202,84.8996,Nepal,2015/05/03 00:00:00+00, 
120,10.38,123.9,Philippines,2011/08/21 00:00:00+00,14:00
121,39.8403,141.77200000000002,Japan,2010/07/31 00:00:00+00,07:00
122,19.1646,72.9325,India,2010/06/08 00:00:00+00, 
