,date,OBJECTID,latitude,longitude,country,fatalities,injuries,type,trigger,severity,location,FID,source_nam,source_lin,event_time,event_id,event_titl,event_desc,location_d,location_a,storm_name,photo_link,comments,event_impo,event_im_1,latitude.1,longitude.1,country_co,admin_divi,gazetteer_,gazetteer1,submitted_,last_edite,slope
0,2008/11/03 00:00:00+00,3272,21.0559,105.829,Vietnam,92,0,landslide,downpour,medium,unknown,1540249,news.bbc,http://news.bbc.co.uk/2/hi/asia-pacific/7710105.stm, ,878,"Hanoi, northern areas",At least 74 people are confirmed to have died in the floods in Hanoi and northern Vietnam in over a week of heavy rain - though the Associated Press news agency quotes Vietnamese authorities as saying the total had risen to 92 people,"Hanoi, northern areas",unknown, , , ,GLC,878,21.0559,105.829,VN,Ha Noi,Hanoi,2.81,2014/04/01 00:00:00+00,2019/05/16 00:00:00+00,7
1,2008/09/25 00:00:00+00,7724,21.3,106.62299999999999,Vietnam,41,0,complex,tropical_cyclone,medium,unknown,1545103,vietnamnews.vnagency,http://vietnamnews.vnagency.com.vn/showarticle.php?num=01MIS260908, ,816,"Quang Ninh, Lang Son, Bac Giang, Vinh Phuc, Lao Cai provinces","The National Steering Committee for Storm and Flood Control has asked the leaders of Son La, Lai Chau, Dien Bien and Hoa Binh provinces to evacuate people from land near rivers or areas at high-risk of landslides","Quang Ninh, Lang Son, Bac Giang, Vinh Phuc, Lao Cai provinces",unknown,Typhoon Hagupit, , ,GLC,816,21.3,106.62299999999999,VN,Bac Giang,Nam Dien,4.7,2014/04/01 00:00:00+00,2019/05/16 00:00:00+00,34
2,2008/08/07 00:00:00+00,1214,22.2666,104.07,Vietnam,37,0,complex,tropical_cyclone,medium,unknown,1538592,alertnet,http://www.alertnet.org/thenews/fromthefield/284081/121871963996.htm, ,696,Lao Cai,"floods have cut off some districts in Lao Cai and triggered widespread landslides, but flash floods have caused the largest number of deaths",Lao Cai,50km,Tropical Storm Kammuri, , ,GLC,696,22.2666,104.07,VN,Lao Cai,Muong Bo,8.88,2014/04/01 00:00:00+00,2019/05/16 00:00:00+00,124
3,2017/10/12 00:00:00+00,872,20.652251,105.156024,Vietnam,18,0,landslide,downpour,large,unknown,1538251,Eleven Myanmar,http://www.elevenmyanmar.com/asean/11997,1:00,13221,Phú Cường Landslide,"A massive amount of soil and rocks, triggered by heavy rainfall, rolled down an adjacent hill at about 1am Thursday, hiting the Phú Cường Village. At least eighteen people, most family members, were buried alive.","Phú Cường, Tân Lạc District, Hoa Binh, Vietnam.",5km, ,http://www.elevenmyanmar.com/sites/default/files//styles/large/public/field/image/dis.jpg?itok=lc0Zf1f-, ,GLC, ,20.652251,105.156024,VN,Hoa Binh,Xom Lon,15.85,2018/08/15 00:00:00+00,2019/05/16 00:00:00+00,125
4,2011/04/01 00:00:00+00,6578,18.9954,105.4625,Vietnam,18,0,rock_fall,mining,large,unknown,1544350,Thanh Nien News,http://www.thanhniennews.com/2010/Pages/20110401164847.aspx,6:00,3331,"Len Co quarry in Nghe An province, north central Vietnam","At least 12 people died and ten others were buried when a quarry collapsed in the central province of Nghe An on Friday morning. Witnesses said the incident occurred at 6 am at the Len Co mining site, roughly 100 kilometers from Vinh town, the provincial","Len Co quarry in Nghe An province, north central Vietnam",50km, , , ,GLC,3331,18.9954,105.4625,VN,Nghe An,Phuc Thanh,7.86,2014/09/11 00:00:00+00,2019/05/16 00:00:00+00,40
5,2012/09/09 00:00:00+00,4720,21.8777,104.5658,Vietnam,16,0,landslide,downpour,large,unknown,1543287,boston,http://www.boston.com/news/weather/2012/09/09/landslides-flooding-kill-vietnam/ErA5C5hyT3pTvpnbAzm15J/story.html, ,4545,Yen Bai,Officials say landslides and flooding caused by heavy rains have killed 29 people and left four missing in northern and central Vietnam. Disaster official Ngo Van Hung of northern Yen Bai province said Monday that 16 villagers from the mostly poor Hmong,Yen Bai,unknown, , , ,GLC,4545,21.8777,104.5658,VN,Yen Bai,Yen Bai,9.18,2014/04/01 00:00:00+00,2019/05/16 00:00:00+00,97
6,2009/09/29 00:00:00+00,7385,14.5179,107.8584,Vietnam,13,0,mudslide,tropical_cyclone,small,unknown,1543557,google,http://www.google.com/hostednews/ap/article/ALeqM5hFZPFpGDZW4hYhPPWl8Kh9iLKrSAD9B0THG00, ,1200,"Kon Tum province, Central Highlands and on provincial roads 672 and 678","As the storm moved inland towards Laos, nine people died in Kon Tum province in the Central Highlands, including a family of five whose house was buried in a mudslide, disaster official Nguyen Van Vy said.","Kon Tum province, Central Highlands and on provincial roads 672 and 678",10km,Typhoon Ondoy (Ketsana), , ,GLC,1200,14.5179,107.8584,VN,Kon Tum,Tri Dao,6.9,2014/04/01 00:00:00+00,2019/05/16 00:00:00+00,55
7,2009/11/05 00:00:00+00,7504,15.5721,108.4671,Vietnam,13,0,landslide,tropical_cyclone,large,unknown,1543676,saigon-gpdaily,http://www.saigon-gpdaily.com.vn/National/Society/2009/11/75848/, ,1280,"Bac Tra My District, Quang Nam Province","Rescue workers have found the bodies of 12 of the 13 people killed in a landslide last week in the central province of Quang Nam. The landslide, which was triggered off in Bac Tra My District on November 5 by Typhoon Mirinae, also left one person badly i","Bac Tra My District, Quang Nam Province",5km,Typhoon Mirinae, , ,GLC,1280,15.5721,108.4671,VN,Quang Nam,Tam Ky,3.09,2014/04/01 00:00:00+00,2019/05/16 00:00:00+00,16
8,2008/09/25 00:00:00+00,8439,21.25,104.0,Vietnam,13,0,complex,tropical_cyclone,medium,unknown,1547010,vietnamnews.vnagency,http://vietnamnews.vnagency.com.vn/showarticle.php?num=01MIS260908, ,815,Son La,Lao Cai Province and Son La are taking the brunt of the storm and up to 300mm of rain is expected. More than 230 excavators have been organized to handle landslides,Son La,unknown,Typhoon Hagupit, , ,GLC,815,21.25,104.0,VN,Son La,Na San,5.3,2014/04/01 00:00:00+00,2019/05/16 00:00:00+00,59
9,2015/08/22 00:00:00+00,7017,23.1781,105.5054,Vietnam,12,0,landslide,rain,medium,above_road,1543984,"Xinhua, english.news.cn",http://news.xinhuanet.com/english/2015-08/28/c_134564528.htm,19:00,7894,Funing County, ,Funing County,10km, , , ,GLC,7894,23.1781,105.5054,VN,Ha Giang,Ban Cao,27.84,2016/06/29 00:00:00+00,2019/05/16 00:00:00+00,208
