,latitude,longitude,FID,slope
0,23.71701896,91.61577214,1,9
1,26.07173543,98.53105319,2,68
2,11.46851,75.9434,5,51
3,22.83757492,93.53921036,9,64
4,22.83605861,93.54111916,10,64
5,23.40388585,93.4368202,11,42
6,19.6310459,94.00344189,12,25
7,18.73003933,94.69552255,13,47
8,18.70331058,94.67261255,14,50
9,18.74169038,94.67442191,15,46
10,18.74112321,94.67687066,16,46
11,18.72841626,94.68546655,17,48
12,18.72812917,94.67594768,18,49
13,18.72744834,94.67473172,19,49
14,18.71549311,94.69251298,20,48
15,18.71388517,94.71565354,21,45
16,18.72346961,94.71405687,22,45
17,15.14251448,97.95507652,23,53
18,15.14296215,97.95756114,24,53
19,15.14215335,97.94360199,25,52
20,15.16453886,97.94202031,26,54
21,15.18726125,97.92595512,27,51
22,15.15425793,97.95333306,28,53
23,15.13572987,97.94251708,29,52
24,15.14911868,97.95714206,30,54
25,15.13729523,97.94587988,31,52
26,15.13772442,97.94688303,32,52
27,15.13311223,97.9520466,33,52
28,15.12424565,97.96829411,34,49
29,21.219105,93.82425435,35,53
30,16.34993934,94.37172432,36,20
31,16.32113646,94.3587349,37,21
32,21.2105003,93.77985949,38,63
33,21.22112025,93.76379118,39,68
34,21.18733792,93.80077325,40,57
35,17.19091266,97.44521179,41,30
36,19.61490508,94.21065584,42,30
37,19.04112977,94.67048328,43,48
38,19.00590578,94.70998741,44,47
39,16.60647841,98.35140391,45,42
40,16.43345084,98.42964538,46,62
41,11.73500077,98.03177385,47,47
42,12.5655,124.0419,53,35
43,27.9447,84.2279,54,79
44,31.0188,78.4129,55,88
45,22.77997113,92.03513581,56,20
46,27.769034,84.854632,57,58
47,26.3312531,94.55427723,61,43
48,27.02149311,88.25902123,62,60
49,38.74738889,75.19605556,63,103
50,27.06992579,93.6146564,65,25
51,16.28332586,80.26097734,66,18
52,16.77787239,120.96132824,67,74
53,22.65620215,93.61589869,68,47
54,33.01739981,74.93828041,69,97
55,30.86642127,76.99790295,70,57
56,22.44394492,91.97239273,71,7
57,33.01346369,74.93530189,72,95
58,29.04080591,114.41329653,77,41
59,26.92110789,103.27687176,78,56
60,24.59383609,121.41808599,79,70
61,1.54384065,110.52085937,81,4
62,27.54295099,88.59676956,82,97
63,5.395580000000002,100.31801,83,8
64,28.06986667,83.65247597,85,77
65,27.10647226,93.65975252,86,35
66,-0.5229,103.2764,87,3
67,28.2576,83.6182,89,75
68,35.5063,73.8056,98,68
69,38.0,71.0,99,108
70,28.1436,84.6979,105,70
71,-3.0287,118.9062,106,68
72,30.9009,77.4668,107,64
73,32.9834,75.6953,109,54
74,35.3539,74.8595,110,67
75,7.9441,98.288,111,43
76,20.2947,98.9344,113,43
77,12.58,122.29,114,37
78,29.4578,81.4655,115,77
79,28.4202,84.8996,118,110
80,10.38,123.9,120,43
81,39.8403,141.77200000000005,121,52
82,19.1646,72.9325,122,25
83,26.0093,94.5238,123,59
